date,REV_GG_TAX_TOTAL_M,REV_CG_TOTAL_M,EXP_CG_TOTAL_M,EXP_GG_TOTAL_Q,REV_GG_TOTAL_Q
2025-05-01,71915516913.0797,35562344655.0912,43599444738.7441,,
2025-06-01,76434614163.0765,37505189128.502,38670951560.084,185789370816.712,177923780155.845
2025-07-01,74984295470.7876,34224028752.9792,41804324022.5831,,
2025-08-01,74664652041.0798,36039003571.3959,42138671657.1203,,
2025-09-01,75297289089.1665,35465327711.1376,47716392249.0325,188836105060.168,179068621660.664
2025-10-01,74748765683.9424,34044764511.6288,43905217821.0866,,
2025-11-01,74342003329.1263,34415146682.6395,34821855466.5724,,
2025-12-01,75147077958.9571,32977665532.8393,41792883665.0335,196726820407.4,179779597787.592
2026-01-01,74089286724.3285,34113632486.8992,43299933353.5285,,
2026-02-01,76003808733.0951,36072915714.2008,42614051901.0266,,
2026-03-01,76625076221.8777,34723073340.3364,40938851732.0436,193394558349.565,181087960681.062
2026-04-01,75292167743.9402,35356610794.2758,41443287772.4726,,
2026-05-01,77429865824.0176,42205300367.3446,40628347882.35,,
2026-06-01,76031295623.8718,36304744453.9591,41371313048.2169,,
2026-07-01,,,,,
